packetTotalCount,distinct(sourceIPAddress),ipTotalLength
49311,8700,11912888
49890,8943,11266131
48046,8850,9718263
52734,8574,16014958
57691,8864,21257404
55398,8827,21818176
50574,8652,13494247
58489,9003,24088215
51767,8790,16128557
53974,8833,18082169
55456,8846,18531321
54662,8844,17432927
54629,8724,15900689
51161,8986,11816699
55646,8947,14844959
54591,8815,12313063
53765,8753,12966939
50570,8837,11005389
51146,8704,12538261
49561,8956,8685636
56490,8896,18336874
60596,8797,22292120
55438,8979,15321274
50839,8714,10142995
53367,8590,13631467
54698,8958,14643329
58352,8564,22900434
55491,8633,18062005
49423,9087,11001339
55465,8739,17589910
